대분류,카드 종류,사용구분,회원 관련 정보,롯데카드,비씨카드(자체),삼성카드,신한카드,우리카드,하나카드,현대카드,KB국민카드,년월
회원수,직불/체크카드,법인,사용가능 회원수,2,0,1,142,111,116,12,389,202408
회원수,직불/체크카드,법인,사용불가 회원수,0,0,0,87,2,4,3,22,202408
회원수,직불/체크카드,법인,순수 보유 회원수(월말),2,0,1,168,100,63,12,302,202408
회원수,신용카드,개인,"전체
회원수
(월중)",9515,2662,13016,14394,7015,6449,12454,12342,202409
회원수,신용카드,개인,"신규회원수
(월중)",92,77,103,103,70,58,119,121,202409
회원수,신용카드,개인,해지회원 수(월중),83,15,81,97,62,52,70,93,202409
회원수,신용카드,개인,"전체
이용
회원수",7066,778,10098,11042,4976,4422,9579,9812,202409
회원수,신용카드,개인,"사용가능
회원수
(월말)",8650,2453,11603,12959,5896,5448,11224,11120,202409
회원수,신용카드,법인,신규회원수(월중),0,0,0,4,6,4,0,7,202409
회원수,신용카드,법인,해지회원 수(월중),0,0,0,5,4,1,0,6,202409
회원수,신용카드,법인,사용가능 회원수(월말),39,0,33,162,280,245,35,462,202409
회원수,직불/체크카드,개인,사용가능 카드수,361,37,416,20076,8840,11439,510,15825,202409
회원수,직불/체크카드,개인,사용불가 카드수,27,9,37,566,1157,578,38,1007,202409
회원수,직불/체크카드,개인,사용가능 회원수,349,34,393,14055,6976,8663,485,13135,202409
회원수,직불/체크카드,개인,사용불가 회원수,24,7,30,288,468,287,29,338,202409
회원수,직불/체크카드,개인,순수 보유 회원수(월말),243,30,219,7665,4706,6460,368,7803,202409
회원수,직불/체크카드,법인,사용가능 카드수,2,0,3,337,293,265,31,634,202409
회원수,직불/체크카드,법인,사용불가 카드수,0,0,0,65,10,19,7,138,202409
회원수,직불/체크카드,법인,사용가능 회원수,2,0,1,143,110,117,12,388,202409
회원수,직불/체크카드,법인,사용불가 회원수,0,0,0,88,2,4,3,22,202409
회원수,직불/체크카드,법인,순수 보유 회원수(월말),2,0,1,169,100,63,12,301,202409
